ID,Meno,Priezvisko,Rodne_cislo,Miesto_narodenia,Stav_uctu,Stav
81,Tomas,Fabian,810527/6987,Zvolen,809409,slobodny
82,Katerina,Vargova,826119/4097,Komarno,453322,vydaty
83,Jan,Horvath,750707/6009,Kosice,378767,slobodny
84,Lucia,Muskova,825910/6105,Bardejov,410347,vydaty
85,Martin,Marko,701028/3272,Levice,110283,slobodny
86,Sandra,Cerna,775613/8433,Svidnik,423260,vydaty
87,Filip,Horvath,781208/5367,Svidnik,806835,slobodny
88,Barbora,Cerna,615627/8186,Bratislava,538319,vydaty
89,Juraj,Cerny,840109/3505,Kosice,983349,slobodny
90,Barbora,Bednarova,715823/3946,Levice,17666,vydaty
91,Juraj,Varga,630425/8524,Bardejov,16342,slobodny
92,Barbora,Markova,945828/2129,Zilina,231270,vydaty
93,Filip,Predajniansky,890313/5145,Nitra,187910,slobodny
94,Petra,Muskova,625410/8497,Zvolen,877506,vydaty
95,Tomas,Kucera,980519/9918,Zilina,459264,slobodny
96,Zuzana,Urbanova,906115/9284,Poprad,326296,vydaty
97,Jan,Varga,641119/5060,Tvrdosin,528827,slobodny
98,Jana,Bednarova,795103/7704,Svidnik,132775,vydaty
99,Juraj,Vesely,800323/3295,Trnava,540604,slobodny
100,Jana,Novakova,545727/6581,Snina,261328,vydaty
101,Martin,Bednar,691121/3613,Humenne,634960,slobodny
102,Lucia,Muskova,515105/7108,Tvrdosin,549139,vydaty
103,Jan,Kucera,810910/4428,Nitra,143667,slobodny
104,Ivana,Bednarova,995805/6329,Tvrdosin,62369,vydaty
105,Peter,Kubik,851125/6206,Presov,526494,slobodny
106,Sandra,Kucerova,965518/7351,Bardejov,865703,vydaty
107,Peter,Rusnak,690209/5809,Levice,785779,slobodny
108,Lucia,Horvathova,795314/1349,Levice,699485,vydaty
109,Radoslav,Dvorak,900716/7580,Kosice,258894,slobodny
110,Zuzana,Rusnakova,766102/8917,Humenne,669587,vydaty
111,Ondrej,Horvath,761003/4087,Zilina,351745,slobodny
112,Lucia,Cerna,895809/1502,Bratislava,194750,vydaty
113,Martin,Rusnak,790522/1146,Humenne,486101,slobodny
114,Katerina,Cerna,995720/1641,Tvrdosin,641329,vydaty
115,Ondrej,Bednar,670912/6671,Trnava,454014,slobodny
116,Barbora,Simekova,766001/9651,Bratislava,923022,vydaty
117,Ondrej,Horvath,780706/1268,Tvrdosin,949751,slobodny
118,Ivana,Predajnianska,565403/4043,Humenne,279970,vydaty
119,Richard,Dvorak,530906/9059,Tvrdosin,103185,slobodny
120,Barbora,Simekova,526116/7161,Zilina,352207,vydaty
121,Tomas,Predajniansky,600615/5542,Kosice,856583,slobodny
122,Sandra,Dvorakova,945311/9201,Trnava,272866,vydaty
123,Martin,Predajniansky,941122/5355,Bratislava,561182,slobodny
124,Barbora,Fabianova,645927/7666,Zilina,422790,vydaty
125,Juraj,Muska,980128/4169,Tvrdosin,498624,slobodny
126,Zuzana,Vargova,636223/1831,Martin,689065,vydaty
127,Ondrej,Novak,510619/4470,Trencin,550875,slobodny
128,Zuzana,Cerna,545819/6229,Levice,868075,vydaty
129,Tomas,Urban,620324/6618,Martin,471001,slobodny
130,Jana,Markova,905223/2764,Trencin,503263,vydaty
131,Radoslav,Bednar,850521/4145,Zvolen,514007,slobodny
132,Lucia,Bednarova,995516/8773,Levice,111819,vydaty
133,Radoslav,Simek,530903/9922,Komarno,430915,slobodny
134,Katerina,Bednarova,575903/6124,Humenne,608739,vydaty
135,Jan,Kucera,590522/4899,Kosice,342192,slobodny
136,Barbora,Horvathova,756220/4211,Zvolen,929567,vydaty
137,Filip,Simek,880623/1634,Bratislava,226603,slobodny
138,Lucia,Horvathova,525422/6776,Martin,310175,vydaty
139,Jan,Varga,861217/3013,Svidnik,197142,slobodny
140,Katerina,Dvorakova,825915/3175,Trnava,288950,vydaty
141,Marek,Muska,960113/6971,Tvrdosin,61696,slobodny
142,Ivana,Cerna,535708/8695,Levice,982623,vydaty
143,Marek,Dvorak,810525/5356,Martin,470939,slobodny
144,Jana,Predajnianska,696125/2751,Nitra,629048,vydaty
145,Jan,Kubik,750206/4520,Zilina,479906,slobodny
146,Simona,Simekova,625709/3989,Svidnik,308168,vydaty
147,Tomas,Dvorak,540113/1727,Zilina,630878,slobodny
148,Simona,Dvorakova,835410/8273,Humenne,879808,vydaty
149,Martin,Predajniansky,850123/8234,Snina,433273,slobodny
150,Katerina,Vargova,786012/8346,Kosice,671393,vydaty
151,Martin,Horvath,900318/9128,Svidnik,353303,slobodny
152,Barbora,Kubikova,856212/6402,Zvolen,105673,vydaty
153,Martin,Bednar,641103/8698,Zilina,474398,slobodny
154,Zuzana,Vargova,806006/3962,Poprad,594955,vydaty
155,Martin,Fabian,661211/3491,Presov,959892,slobodny
156,Zuzana,Horvathova,635714/2608,Zvolen,72880,vydaty
157,Juraj,Horvath,780717/3241,Komarno,957269,slobodny
158,Zuzana,Cerna,885603/9661,Kosice,929504,vydaty
159,Juraj,Cerny,630810/8258,Presov,196288,slobodny
160,Jana,Urbanova,635924/9643,Martin,844901,vydaty
161,Marek,Kubik,800822/5653,Presov,969630,slobodny
162,Simona,Vargova,916112/7972,Martin,156529,vydaty
163,Richard,Fabian,830310/8555,Presov,262404,slobodny
164,Simona,Rusnakova,905124/2975,Bardejov,50035,vydaty
165,Tomas,Dvorak,690520/1747,Svidnik,410836,slobodny
166,Veronika,Urbanova,965206/6316,Bratislava,754830,vydaty
167,Martin,Vesely,680221/6858,Svidnik,159170,slobodny
168,Zuzana,Novakova,735123/9225,Svidnik,785289,vydaty
169,Peter,Muska,580514/9594,Martin,218036,slobodny
170,Katerina,Predajnianska,635522/1098,Bardejov,770887,vydaty
171,Filip,Varga,650515/5849,Bratislava,138758,slobodny
172,Barbora,Simekova,525122/2729,Komarno,126465,vydaty
173,Martin,Urban,580514/4273,Tvrdosin,110325,slobodny
174,Veronika,Kucerova,615328/2558,Martin,695935,vydaty
175,Tomas,Fabian,810206/3364,Tvrdosin,398732,slobodny
176,Jana,Fabianova,665509/7467,Senec,394260,vydaty
177,Peter,Varga,561004/2786,Martin,816595,slobodny
178,Petra,Novakova,906212/3213,Poprad,552132,vydaty
179,Filip,Simek,670122/2112,Tvrdosin,100362,slobodny
180,Simona,Bednarova,795419/9603,Bardejov,217252,vydaty
181,Martin,Predajniansky,851019/8351,Bardejov,911926,slobodny
182,Petra,Kubikova,925315/5221,Presov,84211,vydaty
183,Martin,Bednar,760926/4003,Snina,15613,slobodny
184,Lucia,Vargova,846118/6320,Martin,545871,vydaty
185,Radoslav,Varga,580701/9867,Trencin,104628,slobodny
186,Jana,Kucerova,525216/4103,Nitra,561370,vydaty
187,Tomas,Simek,780317/1688,Humenne,58675,slobodny
188,Lucia,Kubikova,986106/2519,Bratislava,504905,vydaty
189,Juraj,Novak,570813/8626,Tvrdosin,155817,slobodny
190,Jana,Vargova,636212/6021,Snina,829547,vydaty
191,Radoslav,Fabian,991206/1002,Tvrdosin,251218,slobodny
192,Simona,Muskova,705323/6834,Levice,827836,vydaty
193,Radoslav,Dvorak,900922/9746,Svidnik,131467,slobodny
194,Simona,Urbanova,696222/2556,Presov,250600,vydaty
195,Juraj,Rusnak,930702/9127,Martin,389876,slobodny
196,Ivana,Simekova,625805/3408,Kosice,777163,vydaty
197,Filip,Simek,890713/6545,Poprad,14945,slobodny
198,Katerina,Fabianova,816123/7018,Trencin,303832,vydaty
199,Marek,Kubik,741118/2414,Senec,850569,slobodny
200,Barbora,Novakova,675801/4300,Martin,451400,vydaty
201,Jan,Cerny,870802/7314,Bardejov,55814,slobodny
202,Lucia,Novakova,785317/6944,Nitra,160290,vydaty
203,Martin,Kubik,661112/4293,Svidnik,436595,slobodny
204,Sandra,Rusnakova,605618/3626,Komarno,127429,vydaty
205,Radoslav,Novak,520903/8349,Martin,582515,slobodny
206,Barbora,Bednarova,825723/2107,Trnava,610207,vydaty
207,Filip,Kubik,760826/6358,Trencin,336541,slobodny
208,Simona,Vesela,986107/6142,Nitra,628686,vydaty
209,Juraj,Cerny,990106/4953,Levice,11549,slobodny
210,Barbora,Dvorakova,895415/5553,Zvolen,430571,vydaty
211,Filip,Dvorak,921222/6822,Komarno,385009,slobodny
212,Katerina,Cerna,676204/6591,Nitra,937723,vydaty
213,Radoslav,Novak,950609/6652,Martin,229829,slobodny
214,Barbora,Kubikova,836020/8081,Nitra,830416,vydaty
215,Radoslav,Urban,820607/8988,Nitra,794853,slobodny
216,Veronika,Predajnianska,615821/3607,Snina,646541,vydaty
217,Filip,Dvorak,990925/8311,Kosice,211990,slobodny
218,Simona,Vesela,795514/3496,Martin,427418,vydaty
219,Tomas,Cerny,590812/4268,Bardejov,369987,slobodny
220,Zuzana,Kucerova,946219/9440,Presov,42296,vydaty
221,Jan,Marko,731212/9248,Tvrdosin,232098,slobodny
222,Sandra,Simekova,926207/5336,Snina,363332,vydaty
223,Jan,Cerny,900712/3036,Bardejov,797523,slobodny
224,Lucia,Horvathova,926002/7907,Kosice,557226,vydaty
225,Radoslav,Dvorak,760403/9059,Martin,567263,slobodny
226,Barbora,Muskova,515110/3047,Kosice,586851,vydaty
227,Ondrej,Varga,730328/4502,Bardejov,64622,slobodny
228,Veronika,Vesela,775125/2663,Presov,731703,vydaty
229,Ondrej,Predajniansky,560206/5375,Bardejov,850249,slobodny
230,Jana,Cerna,726012/9482,Poprad,650018,vydaty
231,Martin,Predajniansky,800820/6870,Snina,279083,slobodny
232,Veronika,Bednarova,526121/1592,Presov,99565,vydaty
233,Ondrej,Dvorak,981205/9726,Senec,647273,slobodny
234,Petra,Muskova,715905/6206,Komarno,989000,vydaty
235,Tomas,Kubik,901010/9088,Presov,79389,slobodny
236,Petra,Rusnakova,525518/7614,Levice,361457,vydaty
237,Martin,Horvath,680719/4233,Martin,699071,slobodny
238,Simona,Novakova,945423/3795,Kosice,932225,vydaty
239,Jan,Urban,780113/1391,Presov,803332,slobodny
240,Simona,Simekova,685107/8385,Zilina,368053,vydaty
241,Peter,Bednar,691101/9668,Snina,333091,slobodny
242,Zuzana,Fabianova,695108/3578,Zilina,683450,vydaty
243,Ondrej,Bednar,961125/9804,Bratislava,209174,slobodny
244,Veronika,Kubikova,525709/3103,Bratislava,953017,vydaty
245,Martin,Marko,990220/3919,Nitra,744969,slobodny
246,Katerina,Horvathova,716108/7374,Senec,545894,vydaty
247,Filip,Horvath,560614/8446,Zvolen,744282,slobodny
248,Zuzana,Cerna,745427/4798,Bratislava,159850,vydaty
249,Juraj,Marko,710601/6950,Humenne,563399,slobodny
250,Veronika,Novakova,825416/3328,Bratislava,364796,vydaty
251,Filip,Kucera,641007/2943,Nitra,44731,slobodny
252,Katerina,Fabianova,735120/1214,Bratislava,268414,vydaty
253,Juraj,Fabian,721224/2470,Presov,845524,slobodny
254,Jana,Cerna,996214/3503,Komarno,680975,vydaty
255,Filip,Dvorak,981028/1337,Presov,654646,slobodny
256,Jana,Markova,936227/4032,Trnava,105066,vydaty
257,Ondrej,Vesely,881202/4982,Komarno,795650,slobodny
258,Barbora,Dvorakova,675801/9066,Martin,742887,vydaty
259,Ondrej,Kucera,601220/5519,Nitra,475673,slobodny
260,Zuzana,Simekova,585414/1963,Presov,970614,vydaty
261,Filip,Predajniansky,920618/3823,Humenne,82418,slobodny
262,Lucia,Vesela,925626/8557,Humenne,12557,vydaty
263,Ondrej,Kucera,790107/9073,Snina,772036,slobodny
264,Jana,Vesela,885720/4910,Zilina,524518,vydaty
265,Filip,Marko,700712/6161,Zilina,493247,slobodny
266,Ivana,Kucerova,906108/8147,Snina,76797,vydaty
267,Peter,Fabian,551202/8195,Zilina,34237,slobodny
268,Ivana,Vesela,855701/7792,Snina,55693,vydaty
269,Radoslav,Cerny,970206/1621,Tvrdosin,235904,slobodny
270,Katerina,Kucerova,585726/1634,Kosice,537762,vydaty
271,Martin,Kubik,721013/6112,Tvrdosin,777930,slobodny
272,Jana,Kucerova,625623/6118,Bratislava,761563,vydaty
273,Radoslav,Novak,810108/5633,Bardejov,91730,slobodny
274,Simona,Simekova,535706/1337,Martin,23512,vydaty
275,Ondrej,Novak,530309/7513,Trnava,577970,slobodny
276,Zuzana,Markova,655901/7942,Zvolen,838071,vydaty
277,Ondrej,Horvath,650607/2830,Trnava,31272,slobodny
278,Sandra,Rusnakova,745416/8940,Poprad,16441,vydaty
279,Marek,Vesely,850904/8761,Poprad,253726,slobodny
280,Zuzana,Vargova,866106/4762,Poprad,83776,vydaty
281,Marek,Kubik,860212/6895,Svidnik,988525,slobodny
282,Lucia,Predajnianska,975606/9177,Zvolen,800849,vydaty
283,Juraj,Kubik,841013/7910,Poprad,155762,slobodny
284,Barbora,Simekova,595902/2381,Snina,393189,vydaty
285,Tomas,Marko,561217/8809,Svidnik,906991,slobodny
286,Sandra,Cerna,725706/1452,Kosice,691957,vydaty
287,Filip,Vesely,681225/6340,Nitra,120712,slobodny
288,Jana,Muskova,925219/6961,Trencin,570169,vydaty
289,Filip,Novak,731214/5039,Senec,759839,slobodny
290,Simona,Rusnakova,815316/4033,Bardejov,480690,vydaty
291,Juraj,Horvath,940913/2752,Tvrdosin,285682,slobodny
292,Ivana,Fabianova,605503/7374,Presov,570801,vydaty
293,Richard,Novak,770415/7401,Zilina,137123,slobodny
294,Zuzana,Horvathova,735510/5436,Senec,311529,vydaty
295,Filip,Bednar,880607/7408,Martin,534328,slobodny
296,Sandra,Fabianova,765917/1889,Zilina,463946,vydaty
297,Richard,Varga,750517/7981,Bardejov,34366,slobodny
298,Katerina,Urbanova,545319/7653,Komarno,396253,vydaty
299,Ondrej,Cerny,680601/4115,Zvolen,525315,slobodny
300,Sandra,Kubikova,615507/2623,Presov,714905,vydaty
301,Richard,Marko,800215/4908,Trencin,153934,slobodny
302,Petra,Fabianova,815720/9818,Martin,63226,vydaty
303,Martin,Cerny,761126/3960,Levice,945704,slobodny
304,Barbora,Simekova,916228/9530,Svidnik,955402,vydaty
305,Juraj,Simek,930916/8555,Zilina,185850,slobodny
306,Lucia,Vargova,945121/3856,Trnava,712545,vydaty
307,Peter,Urban,760524/6867,Snina,28982,slobodny
308,Jana,Horvathova,925110/9026,Trencin,532871,vydaty
309,Juraj,Muska,620424/6470,Kosice,809821,slobodny
310,Jana,Kubikova,525619/1143,Bratislava,483145,vydaty
311,Jan,Muska,651212/2205,Poprad,798999,slobodny
312,Sandra,Novakova,786122/6710,Zilina,579877,vydaty
313,Martin,Predajniansky,900618/3827,Svidnik,418652,slobodny
314,Lucia,Horvathova,735421/8103,Senec,882964,vydaty
315,Juraj,Kucera,790821/6583,Komarno,95924,slobodny
316,Lucia,Predajnianska,755627/6404,Komarno,69340,vydaty
317,Martin,Bednar,740502/7458,Presov,907035,slobodny
318,Petra,Fabianova,985523/3292,Presov,750903,vydaty
319,Richard,Vesely,990306/6438,Trencin,760212,slobodny
320,Lucia,Vargova,826024/9434,Svidnik,415418,vydaty
321,Marek,Rusnak,870220/1587,Trnava,615510,slobodny
322,Barbora,Cerna,865819/1455,Zilina,24458,vydaty
323,Radoslav,Urban,860801/2543,Trencin,165181,slobodny
324,Ivana,Rusnakova,545418/1489,Zvolen,752921,vydaty
325,Filip,Simek,901110/2508,Kosice,963915,slobodny
326,Lucia,Rusnakova,946210/7431,Bratislava,385183,vydaty
327,Filip,Cerny,861015/4794,Tvrdosin,370276,slobodny
328,Barbora,Dvorakova,785501/8550,Zvolen,553320,vydaty
329,Juraj,Bednar,610511/4695,Nitra,806002,slobodny
330,Simona,Vesela,935715/9282,Poprad,306626,vydaty
331,Juraj,Kucera,720519/8297,Bratislava,247424,slobodny
332,Sandra,Dvorakova,795920/9359,Zvolen,503488,vydaty
333,Richard,Dvorak,921112/7879,Snina,391041,slobodny
334,Lucia,Cerna,966216/9579,Zvolen,377972,vydaty
335,Juraj,Urban,910712/3774,Bratislava,849665,slobodny
336,Simona,Dvorakova,855204/1902,Nitra,350225,vydaty
337,Ondrej,Rusnak,711228/8860,Trencin,811289,slobodny
338,Lucia,Kucerova,735603/9975,Snina,738297,vydaty
339,Tomas,Rusnak,711107/5536,Humenne,313599,slobodny
340,Barbora,Kubikova,725413/7436,Senec,303598,vydaty
341,Radoslav,Kucera,870922/5544,Nitra,142284,slobodny
342,Ivana,Vesela,715427/2622,Svidnik,479775,vydaty
343,Marek,Kubik,690104/1788,Nitra,682599,slobodny
344,Sandra,Kucerova,995816/2584,Snina,956890,vydaty
345,Tomas,Novak,670725/7776,Tvrdosin,998276,slobodny
346,Ivana,Kucerova,955513/3249,Humenne,991226,vydaty
347,Ondrej,Novak,650928/1720,Nitra,929567,slobodny
348,Veronika,Urbanova,595823/9250,Bardejov,932868,vydaty
349,Tomas,Vesely,640228/3922,Martin,474363,slobodny
350,Ivana,Kucerova,975716/4604,Kosice,413017,vydaty
351,Richard,Horvath,610113/8486,Martin,201951,slobodny
352,Zuzana,Vargova,546012/8688,Nitra,898461,vydaty
353,Richard,Cerny,920606/2786,Nitra,94231,slobodny
354,Petra,Urbanova,645905/2153,Bratislava,306774,vydaty
355,Peter,Rusnak,770827/9665,Poprad,41759,slobodny
356,Sandra,Vargova,855227/4563,Svidnik,54158,vydaty
357,Radoslav,Novak,910215/5701,Svidnik,42571,slobodny
358,Barbora,Bednarova,985307/7776,Bratislava,13248,vydaty
359,Marek,Urban,631201/9062,Tvrdosin,693425,slobodny
360,Veronika,Fabianova,645415/2981,Levice,675408,vydaty
361,Peter,Simek,701118/5574,Zilina,823227,slobodny
362,Lucia,Horvathova,516015/3414,Nitra,658492,vydaty
363,Radoslav,Marko,670715/4457,Zilina,548991,slobodny
364,Petra,Kubikova,855317/5757,Bardejov,78054,vydaty
365,Ondrej,Bednar,940225/7987,Levice,20484,slobodny
366,Barbora,Kucerova,865507/9127,Levice,744203,vydaty
367,Juraj,Fabian,670407/4802,Bardejov,423834,slobodny
368,Veronika,Bednarova,845822/4763,Martin,895443,vydaty
369,Filip,Rusnak,960612/4730,Zilina,844409,slobodny
370,Veronika,Novakova,656018/8116,Bardejov,167007,vydaty
371,Filip,Simek,520923/2738,Komarno,687460,slobodny
372,Zuzana,Rusnakova,765310/1917,Zvolen,28871,vydaty
373,Jan,Vesely,750810/3926,Trnava,835465,slobodny
374,Petra,Vargova,875911/3613,Presov,864492,vydaty
375,Ondrej,Urban,800428/7195,Presov,280498,slobodny
376,Simona,Markova,865613/6133,Svidnik,609117,vydaty
377,Tomas,Marko,960706/1967,Poprad,817192,slobodny
378,Sandra,Markova,905203/6596,Kosice,561690,vydaty
379,Filip,Muska,991228/5943,Levice,640263,slobodny
380,Katerina,Cerna,935827/6707,Snina,200438,vydaty
381,Filip,Dvorak,750622/3383,Snina,776133,slobodny
382,Katerina,Rusnakova,685811/2617,Tvrdosin,508815,vydaty
383,Peter,Vesely,701002/5895,Trencin,321280,slobodny
384,Zuzana,Muskova,705318/4342,Svidnik,663374,vydaty
385,Juraj,Fabian,650904/4793,Nitra,731669,slobodny
386,Petra,Kubikova,975526/9592,Trencin,583072,vydaty
387,Juraj,Fabian,910521/3293,Presov,47106,slobodny
388,Katerina,Novakova,616025/6421,Levice,302516,vydaty
389,Jan,Horvath,540518/2938,Zilina,962771,slobodny
390,Veronika,Cerna,535722/2129,Svidnik,286727,vydaty
391,Jan,Urban,891227/5358,Trnava,437567,slobodny
392,Zuzana,Bednarova,665214/3271,Zvolen,769939,vydaty
393,Filip,Kubik,841214/1958,Bratislava,485426,slobodny
394,Zuzana,Kubikova,525921/2860,Komarno,946792,vydaty
395,Ondrej,Urban,611006/1078,Kosice,282184,slobodny
396,Barbora,Simekova,545210/5059,Tvrdosin,811624,vydaty
397,Martin,Novak,950628/6949,Poprad,738084,slobodny
398,Simona,Cerna,616009/4159,Zilina,920666,vydaty
399,Richard,Urban,591002/4531,Humenne,570576,slobodny
400,Barbora,Markova,695320/1551,Nitra,240807,vydaty
401,Marek,Simek,800610/5681,Svidnik,809027,slobodny
402,Sandra,Rusnakova,835704/4048,Kosice,693103,vydaty
403,Peter,Rusnak,900520/9027,Trencin,282115,slobodny
404,Barbora,Predajnianska,926203/3018,Levice,944809,vydaty
405,Jan,Rusnak,790310/5094,Trnava,679585,slobodny
406,Veronika,Vargova,575614/7725,Humenne,686321,vydaty
407,Ondrej,Bednar,810218/9337,Martin,339995,slobodny
408,Katerina,Vargova,715223/1085,Senec,879570,vydaty
409,Peter,Varga,960428/4775,Poprad,757304,slobodny
410,Ivana,Kubikova,955714/5557,Bratislava,248661,vydaty
411,Filip,Kucera,750511/2149,Nitra,339535,slobodny
412,Lucia,Cerna,875928/5340,Zilina,450442,vydaty
413,Ondrej,Urban,780318/8898,Zilina,772725,slobodny
414,Lucia,Fabianova,705527/5829,Svidnik,446734,vydaty
415,Juraj,Simek,550419/9787,Levice,499169,slobodny
416,Lucia,Vesela,805217/5568,Svidnik,309010,vydaty
417,Richard,Kucera,690413/2005,Trencin,190543,slobodny
418,Sandra,Rusnakova,896224/9008,Humenne,614659,vydaty
419,Peter,Kubik,810105/4707,Snina,830879,slobodny
420,Barbora,Markova,585619/7213,Trencin,558240,vydaty
421,Richard,Simek,730116/9127,Kosice,190756,slobodny
422,Lucia,Muskova,845522/2234,Komarno,751022,vydaty
423,Martin,Bednar,560303/7212,Zilina,966648,slobodny
424,Ivana,Muskova,735328/6533,Komarno,408893,vydaty
425,Ondrej,Predajniansky,670319/2273,Trnava,313282,slobodny
426,Jana,Simekova,725315/4561,Zvolen,42569,vydaty
427,Marek,Horvath,580815/5531,Bardejov,39705,slobodny
428,Veronika,Fabianova,735401/9411,Tvrdosin,942117,vydaty
429,Radoslav,Predajniansky,820312/7563,Levice,967093,slobodny
430,Katerina,Predajnianska,545401/5310,Poprad,693910,vydaty
431,Filip,Novak,880410/8445,Nitra,335758,slobodny
432,Katerina,Novakova,945701/4405,Zilina,227875,vydaty
433,Tomas,Kubik,630924/3151,Komarno,290916,slobodny
434,Petra,Kubikova,945625/9782,Martin,115809,vydaty
435,Tomas,Rusnak,891102/7381,Bardejov,97851,slobodny
436,Petra,Bednarova,955101/9808,Trencin,410992,vydaty
437,Juraj,Kucera,620316/3687,Tvrdosin,643659,slobodny
438,Ivana,Kubikova,915508/7960,Humenne,987793,vydaty
439,Filip,Vesely,650413/7701,Zvolen,363817,slobodny
440,Lucia,Cerna,785813/3677,Svidnik,231021,vydaty
441,Jan,Predajniansky,511214/9832,Presov,814213,slobodny
442,Katerina,Predajnianska,765823/1189,Tvrdosin,460498,vydaty
443,Martin,Kubik,980509/9453,Martin,669218,slobodny
444,Barbora,Novakova,755918/5598,Tvrdosin,794714,vydaty
